version 1
button_label_browse	Examinar
button_label_cancel	Cancelar
button_label_client_path	Ruta del cliente
button_label_close	Cerrar
button_label_disabled	Desactivado
button_label_edit	Editar
button_label_enabled	Activado
button_label_hours_played	Horas de juego
button_label_no	No
button_label_none	Ninguna
button_label_open	Abrir
button_label_save	Guardar
button_label_starting_bangs	Bangs de inicio
button_label_stopping_bangs	Bangs de finalización
button_label_yes	Sí
filter_back_button_title	Atrás
filter_clear_filters	Borrar filtros
filter_from_platform	En plataforma
filter_has_no_tags	Sin etiquetas
filter_has_notes	Con notas
filter_has_tag	Con etiquetas
filter_is_hidden	Oculto
filter_is_uninstalled	Desinstalado
filter_never_played	Nunca jugado
filter_random	Juego aleatorio
filter_window_all_title	Filtrar
filter_window_current_title	Filtrar (juegos actuales)
game_ignores_other_bangs	Ignorar otros bangs
game_installed	Instalado
game_last_played	Jugado por última vez
game_last_played_never	Nunca
game_no_banner	Sin imagen
game_notes	Notas
game_number_of_games	%d juegos
game_path	Ruta
game_platform	Plataforma
game_process	Proceso
game_tag_create	Crear nueva etiqueta
game_tags	Etiquetas
game_visible	Visible
main_context_title_execute_stopping_bangs	Ejecutar bangs de finalización
main_context_title_open_shortcuts_folder	Ver carpeta de accesos directos
main_context_title_settings	Ajustes
main_context_title_start_hiding_games	Iniciar ocultar juegos
main_context_title_start_removing_games	Iniciar eliminar juegos
main_context_title_start_unhiding_games	Iniciar mostrar juegos
main_context_title_stop_hiding_games	Finalizar ocultar juegos
main_context_title_stop_removing_games	Finalizar eliminar juegos
main_context_title_stop_unhiding_games	Finalizar mostrar juegos
main_no_games	No hay juegos que mostrar
main_status_detecting_games	Detectando juegos
main_status_detecting_platform_games	Detectando juegos de %s 
main_status_n_banners_to_download	%d imágenes pendientes de descargar
overlay_already_hidden	Ya está oculto
overlay_already_visible	Ya está visible
overlay_hide	Ocultar
overlay_hours_played	%.0f horas de juego
overlay_install	Instalar
overlay_platform_not_running	%s no se está ejecutando
overlay_remove	Eliminar
overlay_unhide	Mostrar
overlay_uninstalled	Desinstalado
platform_name_windows_shortcut	Acceso directo de Windows
search_window_all_title	Buscar
search_window_current_title	Buscar (juegos actuales)
setting_animation_label_jiggle	Sacudir
setting_animation_label_shake_left_right	Agitar a izquierda y derecha
setting_animation_label_shake_up_down	Agitar arriba y abajo
setting_animation_label_shrink	Contraer
setting_animation_label_slide_down	Deslizar hacia abajo
setting_animation_label_slide_left	Deslizar a la izquierda
setting_animation_label_slide_right	Deslizar a la derecha
setting_animation_label_slide_up	Deslizar hacia arriba
setting_animation_label_zoom_in	Acercar
setting_bangs_enabled_description	Si está activada los bangs de Rainmeter especificados son ejecutados cuando empieza o finaliza la ejecución de un juego.
setting_bangs_enabled_title	Ejecutar bangs
setting_bangs_starting_description	Estos bangs de Rainmeter son ejecutados al empezar la ejecución de un juego.
setting_bangs_stopping_description	Estos bangs de Rainmeter son ejecutados al finalizar la ejecución de un juego.
setting_battlenet_add_path	Añadir ruta...
setting_battlenet_enabled_description	Si está activada serán añadidos los juegos instalados con el cliente de Blizzard Battle.net.
